1991,Acura,Legend,LS 6-Cyl 3.2 (C32A1) (GAS), Mobil 1™ Extended Performance High Mileage 5W-30 
1991,Acura,Legend,LS 6-Cyl 3.2 (C32A1) (GAS), Mobil 1™ High Mileage 5W-30 
1991,Acura,NSX,Base 6-Cyl 3.0 (VTEC) (GAS),10W-30
1991,Acura,NSX,Base 6-Cyl 3.0 (VTEC) (GAS),0W-30
1991,Acura,NSX,Base 6-Cyl 3.0 (VTEC) (GAS), Mobil 1™ Extended Performance 10W-30 
1991,Acura,NSX,Base 6-Cyl 3.0 (VTEC) (GAS), Mobil 1™ 0W-30 Advanced Fuel Economy 
1991,Acura,NSX,Base 6-Cyl 3.0 (VTEC) (GAS), Mobil 1™ 10W-30 
1991,Acura,NSX,Base 6-Cyl 3.0 (VTEC) (GAS), Mobil 1™ High Mileage 10W-30 
1991,Acura,NSX,Base 6-Cyl 3.0 (VTEC) (GAS), Mobil Super™ Synthetic 10W-30 
1991,Acura,NSX,Base 6-Cyl 3.0 (VTEC) (GAS), Mobil Super™ 10W-30 
1991,Acura,NSX,Base 6-Cyl 3.0 (VTEC) (GAS), Mobil Super™ High Mileage 10W-30 
1991,Alfa Romeo,164,Base 6-Cyl 3.0 (3) (GAS),10W-40
1991,Alfa Romeo,164,Base 6-Cyl 3.0 (3) (GAS), Mobil 1™ High Mileage 10W-40 
1991,Alfa Romeo,164,Base 6-Cyl 3.0 (3) (GAS), Mobil Super™ 10W-40 
1991,Alfa Romeo,164,Base 6-Cyl 3.0 (3) (GAS), Mobil Super™ High Mileage 10W-40 
1991,Alfa Romeo,164,L 6-Cyl 3.0 (3) (GAS),10W-40
1991,Alfa Romeo,164,L 6-Cyl 3.0 (3) (GAS), Mobil 1™ High Mileage 10W-40 
1991,Alfa Romeo,164,L 6-Cyl 3.0 (3) (GAS), Mobil Super™ 10W-40 
1991,Alfa Romeo,164,L 6-Cyl 3.0 (3) (GAS), Mobil Super™ High Mileage 10W-40 
1991,Alfa Romeo,164,Sport 6-Cyl 3.0 (3) (GAS),10W-40
1991,Alfa Romeo,164,Sport 6-Cyl 3.0 (3) (GAS), Mobil 1™ High Mileage 10W-40 
1991,Alfa Romeo,164,Sport 6-Cyl 3.0 (3) (GAS), Mobil Super™ 10W-40 
1991,Alfa Romeo,164,Sport 6-Cyl 3.0 (3) (GAS), Mobil Super™ High Mileage 10W-40 
1991,Alfa Romeo,Spider,Base 4-Cyl 2.0 (2) (GAS),10W-40
